sex,age,race,hispanic,educ,empstat,hrs_wk,income,deg_bachelors,deg_masters,deg_profession,deg_phd,i_female,i_black,i_white,i_hispanic,i_workforce,i_employed
Male,68,White,Non-Hispanic,12,Not in labor force,0,19000,0,0,0,0,0,0,1,0,0,0
Female,40,White,Non-Hispanic,16,Not in labor force,40,1000,1,0,0,0,1,0,1,0,0,0
Female,39,Other,Hispanic,16,Employed,45,44000,1,0,0,0,1,0,0,1,1,1
Female,37,White,Non-Hispanic,12,Employed,22,10000,0,0,0,0,1,0,1,0,1,1
Male,69,White,Non-Hispanic,16,Employed,40,4,1,0,0,0,0,0,1,0,1,1
Female,18,Other,Hispanic,11,Not in labor force,0,0,0,0,0,0,1,0,0,1,0,0
Female,58,White,Non-Hispanic,13,Employed,18,12600,0,0,0,0,1,0,1,0,1,1
Male,55,Japanese,Non-Hispanic,14,Employed,40,91700,0,0,0,0,0,0,0,0,1,1
Female,50,Other,Non-Hispanic,,Employed,40,15700,0,0,0,0,1,0,0,0,1,1
Male,71,Other,Non-Hispanic,,Employed,40,50800,0,0,0,0,0,0,0,0,1,1
Female,62,White,Non-Hispanic,17,Not in labor force,0,0,1,1,0,0,1,0,1,0,0,0
Male,74,White,Non-Hispanic,14,Not in labor force,0,21500,0,0,0,0,0,0,1,0,0,0
Male,53,White,Non-Hispanic,16,Employed,60,10000,1,0,0,0,0,0,1,0,1,1
Male,49,White,Non-Hispanic,17,Employed,40,151200,1,0,1,0,0,0,1,0,1,1
Female,18,Other,Non-Hispanic,12,Not in labor force,0,1500,0,0,0,0,1,0,0,0,0,0
Female,34,White,Non-Hispanic,17,Employed,40,52000,1,1,0,0,1,0,1,0,1,1
Male,35,White,Non-Hispanic,12,Employed,50,71000,0,0,0,0,0,0,1,0,1,1
Male,49,White,Non-Hispanic,12,Employed,45,20000,0,0,0,0,0,0,1,0,1,1
Male,25,White,Non-Hispanic,16,Employed,40,50000,1,0,0,0,0,0,1,0,1,1
Male,27,White,Non-Hispanic,14,Employed,60,70000,0,0,0,0,0,0,1,0,1,1
Female,29,White,Non-Hispanic,12,Employed,38,34400,0,0,0,0,1,0,1,0,1,1
Female,59,White,Non-Hispanic,11,Employed,40,75000,0,0,0,0,1,0,1,0,1,1
Male,42,Other,Non-Hispanic,17,Employed,45,135020,1,0,1,0,0,0,0,0,1,1
Female,36,White,Non-Hispanic,17,Employed,45,198000,1,1,0,0,1,0,1,0,1,1
Male,30,Other,Non-Hispanic,13,Employed,40,68000,0,0,0,0,0,0,0,0,1,1
Female,73,White,Non-Hispanic,12,Not in labor force,0,14000,0,0,0,0,1,0,1,0,0,0
Female,51,AIAN,Non-Hispanic,12,Employed,40,62000,0,0,0,0,1,0,0,0,1,1
Female,19,White,Non-Hispanic,13,Not in labor force,99,78250,0,0,0,0,1,0,1,0,0,0
Female,50,Other,Non-Hispanic,17,Not in labor force,20,2300,1,1,0,0,1,0,0,0,0,0
Female,55,White,Hispanic,16,Employed,5,700,1,0,0,0,1,0,1,1,1,1
Male,58,Black,Non-Hispanic,13,Not in labor force,0,19200,0,0,0,0,0,1,0,0,0,0
Male,35,White,Hispanic,8,Not in labor force,0,9600,0,0,0,0,0,0,1,1,0,0
Male,82,Black,Non-Hispanic,16,Not in labor force,0,8600,1,0,0,0,0,1,0,0,0,0
Male,75,White,Non-Hispanic,16,Not in labor force,16,36900,1,0,0,0,0,0,1,0,0,0
Male,68,White,Non-Hispanic,12,Not in labor force,0,55000,0,0,0,0,0,0,1,0,0,0
Female,59,White,Non-Hispanic,12,Employed,40,30000,0,0,0,0,1,0,1,0,1,1
