state_name,state,county_name,county_fips,confederate,votes_gop_2016,votes_dnc_2016,votes_gop_2020,votes_dnc_2020,votes_gop_2024,votes_dnc_2024
Alabama,AL,Autauga County,01001,1,18110,5908,19838,7503,20484,7439
Alabama,AL,Baldwin County,01003,1,72780,18409,83544,24578,95798,24934
Alabama,AL,Barbour County,01005,1,5431,4848,5622,4816,5606,4158
Alabama,AL,Bibb County,01007,1,6733,1874,7525,1986,7572,1619
Alabama,AL,Blount County,01009,1,22808,2150,24711,2640,25354,2576
Alabama,AL,Bullock County,01011,1,1139,3530,1146,3446,1101,2983
Alabama,AL,Butler County,01013,1,4891,3716,5458,3965,5172,3251
Alabama,AL,Calhoun County,01015,1,32803,13197,35101,15216,34912,13194
Alabama,AL,Chambers County,01017,1,7803,5763,8753,6365,8711,5405
Alabama,AL,Cherokee County,01019,1,8809,1524,10583,1624,11358,1553
Alabama,AL,Chilton County,01021,1,15068,2909,16085,3073,16920,2698
Alabama,AL,Choctaw County,01023,1,4102,3109,4296,3127,4103,2515
Alabama,AL,Clarke County,01025,1,7109,5712,7324,5755,6965,4927
Alabama,AL,Clay County,01027,1,5230,1234,5601,1267,5734,993
Alabama,AL,Cleburne County,01029,1,5738,684,6484,675,6988,605
Alabama,AL,Coffee County,01031,1,15825,4194,16899,5076,17495,4601
Alabama,AL,Colbert County,01033,1,16718,7296,19203,8343,19714,7137
Alabama,AL,Conecuh County,01035,1,3413,3069,3442,2966,3423,2580
Alabama,AL,Coosa County,01037,1,3376,1780,3631,1796,3758,1478
Alabama,AL,Covington County,01039,1,13222,2379,14586,2721,14677,2314
Alabama,AL,Crenshaw County,01041,1,4511,1663,4864,1700,5000,1457
Alabama,AL,Cullman County,01043,1,32734,3730,36880,4478,38704,4039
Alabama,AL,Dale County,01045,1,13798,4408,14303,5170,14476,4484
Alabama,AL,Dallas County,01047,1,5784,12826,5524,12230,5190,10236
Alabama,AL,DeKalb County,01049,1,21779,3682,24767,4281,25633,3758
Alabama,AL,Elmore County,01051,1,27619,8436,30164,10367,31374,9774
Alabama,AL,Escambia County,01053,1,10282,4698,10869,4918,10884,3964
Alabama,AL,Etowah County,01055,1,32132,10350,35528,11567,35653,10027
Alabama,AL,Fayette County,01057,1,6705,1358,7300,1395,7158,1142
Alabama,AL,Franklin County,01059,1,9466,2197,10376,2086,10417,1568
Alabama,AL,Geneva County,01061,1,9967,1522,10848,1595,10929,1391
Alabama,AL,Greene County,01063,1,838,4006,875,3884,885,3133
Alabama,AL,Hale County,01065,1,3172,4772,3190,4687,3369,3868
Alabama,AL,Henry County,01067,1,5623,2286,6607,2606,6989,2263
Alabama,AL,Houston County,01069,1,30567,10547,32618,12917,32469,11352
Alabama,AL,Jackson County,01071,1,16643,3663,19670,3717,20073,3276
Alabama,AL,Jefferson County,01073,1,130614,151581,138843,181688,131123,162112
Alabama,AL,Lamar County,01075,1,5819,1035,6174,978,6033,806
Alabama,AL,Lauderdale County,01077,1,27735,9877,31721,11915,32708,10326
Alabama,AL,Lawrence County,01079,1,10732,3611,12322,3562,13024,2983
Alabama,AL,Lee County,01081,1,34321,20987,42221,27860,46020,25798
Alabama,AL,Limestone County,01083,1,28824,9340,34640,13672,37887,14581
Alabama,AL,Lowndes County,01085,1,1751,4882,1836,4972,1758,3867
Alabama,AL,Macon County,01087,1,1394,7237,1541,7108,1682,6084
Alabama,AL,Madison County,01089,1,89199,62435,102780,87286,105430,87824
Alabama,AL,Marengo County,01091,1,5224,5607,5343,5488,4995,4631
Alabama,AL,Marion County,01093,1,11273,1432,12205,1463,12245,1197
Alabama,AL,Marshall County,01095,1,29217,4913,33191,5943,34434,5553
Alabama,AL,Mobile County,01097,1,91087,68429,101243,79474,100759,72055
