year,exp_female,exp_male,exp_pop,pop,gdp,cpi,inf
1952,71.5,65.54,68.38,157.492583,3.67341,26.5666666666667,2.28439425051336
1953,71.91,65.8,68.72,160.146167,3.89218,26.7683333333333,0.759096612296116
1954,72.7,66.57,69.5,162.96825,3.90549,26.865,0.361123217732385
1955,72.8,66.58,69.56,165.872333,4.25478,26.7958333333333,-0.2574601402072
1956,72.95,66.61,69.64,168.857667,4.49353,27.1908333333333,1.47410978074948
1957,72.74,66.36,69.41,171.906833,4.74039,28.1133333333333,3.39268748659169
1958,73,66.6,69.67,174.812,4.81229,28.8808333333333,2.73002134218641
1959,73.31,66.75,69.9,177.76475,5.21654,29.15,0.931990651239301
1960,73.3,66.62,69.82,180.638667,5.42382,29.585,1.49228130360204
1961,73.71,67.04,70.24,183.61875,5.62209,29.9016666666667,1.07036223311363
1962,73.59,66.88,70.11,186.474833,6.03922,30.2533333333333,1.17607714174237
1963,73.5,66.63,69.94,189.18875,6.3745,30.6333333333333,1.25605993829882
1964,73.81,66.82,70.19,191.820333,6.8446,31.0383333333333,1.32208922742109
1965,73.93,66.8,70.25,194.249667,7.42289,31.5283333333333,1.57869301401493
1966,73.97,66.69,70.21,196.5075,8.13414,32.4708333333333,2.98937463657028
1967,74.33,66.94,70.52,198.664417,8.59959,33.375,2.78455023739252
1968,74.08,66.55,70.21,200.66375,9.40651,34.7916666666667,4.24469413233462
1969,74.4,66.77,70.48,202.648667,10.17615,36.6833333333333,5.43712574850297
1970,74.65,67.02,70.74,204.982333,10.73303,38.8416666666667,5.88368923216719
1971,74.98,67.39,71.1,207.589333,11.6485,40.4833333333333,4.22656082385756
1972,75.11,67.42,71.18,209.837583,12.7911,41.8083333333333,3.27295183202963
1973,75.32,67.62,71.4,211.857167,14.25376,44.425,6.25872035080727
1974,75.85,68.18,71.96,213.81475,15.45243,49.3166666666667,11.0110673419621
1975,76.46,68.72,72.54,215.890667,16.84904,53.825,9.14160189253126
1976,76.68,69.08,72.85,217.99925,18.73412,56.9333333333333,5.77488775352223
1977,77.09,69.41,73.23,220.193083,20.81826,60.6166666666667,6.4695550351288
1978,77.23,69.62,73.41,222.525417,23.51599,65.2416666666667,7.62991476491613
1979,77.66,70.01,73.83,225.002833,26.27333,72.5833333333333,11.2530335930515
1980,77.48,69.98,73.74,227.621917,28.57307,82.3833333333334,13.5017221584386
1981,77.8,70.41,74.12,229.915667,32.07041,90.9333333333333,10.378312765527
1982,78.08,70.8,74.47,232.127833,33.43789,96.5333333333334,6.15835777126104
1983,78.09,70.97,74.56,234.2465,36.34038,99.5833333333333,3.1595303867403
1984,78.17,71.12,74.68,236.30725,40.37613,103.933333333333,4.36820083682009
1985,78.18,71.08,74.66,238.4155,43.38979,107.6,3.5279025016036
1986,78.27,71.14,74.74,240.592667,45.79631,109.691666666667,1.94392812887237
1987,78.36,71.31,74.88,242.75075,48.55215,113.616666666667,3.57821165387828
1988,78.31,71.32,74.85,244.9675,52.36438,118.275,4.10004400762801
1989,78.56,71.6,75.13,247.285917,56.4158,123.941666666667,4.79109420136686
